id,title
524,New York Subway
525,Hanging at Jefferson City
526,Pennsylvania Tunnel Excavation
527,Plaza de la Magdalena (Calles y plazas de Zaragoza)
528,"Raffles, the Amateur Cracksman"
529,Reuben in the Opium Joint
530,Se da de comer
531,Los sitios de Chile
532,Torrero y la ribera (Calles y plazas de Zaragoza)
533,The Wooing and Wedding of a Coon
534,The '?' Motorist
535,The Anarchist's Mother-in-Law
536,Apachentanz
537,"Arrival of Immigrants, Ellis Island"
538,"Bilbao, Portugalete y los Altos Hornos"
539,Bonden i København
540,Branden i Frihavnen
541,Caros død
542,Cerveza gratis
543,Kong Christian d. IXs Bisættelse
544,The Dancer's Dream
545,Dream of a Racetrack Fiend
546,Dream of a Rarebit Fiend
547,Ferias en San Sebastián y Cabalgata en la Ría
548,Fiskerliv i Norden
549,En foræring til min Kone
550,Proklamationen af Kong Frederik d. VIII
551,Fæstningskrigen
552,The Hand of the Artist
553,The Haunted Hotel
554,Humorous Phases of Funny Faces
555,Den hvide slavinde
556,Hævnet
557,Kathleen Mavourneen
558,Los kikos
559,Konfirmanden
560,Ladrones burlados
561,The Life of a Cowboy
562,Os Lusíadas
563,Mellem Aber og Bjørne
564,A Modern Oliver Twist
565,The Night Before Christmas
566,Professorens Morgenavis
567,The 400 Tricks of the Devil
568,Rosenborg Have
569,Røverhøvdingens Flugt og Død
570,San Francisco Disaster
571,The San Francisco Earthquake
572,Secreto de confesión
573,Den sorte maske
574,The Story of the Kelly Gang
575,"20,000 Leagues Under the Sea"
576,Ali Baba and the Forty Thieves
577,"Angelo, Tyrant of Padua"
578,"An Awful Skate; or, the Hobo on Rollers"
579,The Bandit Makes Good
580,A Batalha das Flores no Campo Grande
581,Bauernhaus und Grafenschloß
582,Ben Hur
583,The Lady with the Camellias
584,El ciego de la aldea
585,Concurso de sardanas en el parque Guell
586,A Curious Dream
587,La dea del mare
588,Der var engang
589,Descoberta da América por Cristovão Colombo
590,Dr. Skinum
591,The Prodigal Son
592,Eureka Stockade
593,Fiestas de San Antonio
594,The Flight from the Seraglio
595,From the Rococo Times
596,Fyrtøjet
597,The Magic Mirror
598,"Hamlet, Prince of Denmark"
599,Polar Bear Hunt
601,Lohengrin
602,Lion Hunting
603,The Magic Fountain Pen
604,A Misalliance
605,Mordet paa Fyn
606,Mr. Gay and Mrs.
607,La muerte del tirano
608,En ny hat til Madammen
609,Othello
610,Othello
611,In the Sultan's Power
612,Procesión marítima en Santa Cristina
613,O Rapto de Uma Actriz
614,The Red Spectre
615,Robbery Under Arms
616,Romería a San Medín
617,The Robber's Sweetheart
618,Salaviinanpolttajat
619,Stalking and Shooting Caribou in Newfoundland
620,The Will
621,That Fatal Sneeze
